subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
102,1,21,0.1523,0.6436,-0.1198,0.1198,0.3879,-0.143,0.143,0.1752,-0.1827,0.1827,0.6351,-0.1298,0.1298,1.0809,-0.1733,0.1733,1.3097,-0.1249,0.1249,0.3885,-0.144,0.144,0.4059,-0.1114,0.1114,0.3833,-0.1485,0.1485,0.9142,-0.1368,0.1368
102,1,22,0.1971,0.5057,-0.1114,0.1114,0.4441,-0.195,0.195,0.1694,-0.1548,0.1548,0.5606,-0.1938,0.1938,0.8737,-0.2037,0.2037,1.3394,-0.1234,0.1234,0.4135,-0.142,0.142,0.2963,-0.1222,0.1222,0.4175,-0.1125,0.1125,0.3944,-0.1669,0.1669
102,1,23,0.1522,0.8325,-0.1184,0.1184,0.4234,-0.1437,0.1437,0.188,-0.1461,0.1461,1.2569,-0.1734,0.1734,0.7077,-0.1878,0.1878,0.9002,-0.1505,0.1505,0.3203,-0.1661,0.1661,0.4005,-0.1325,0.1325,0.3836,-0.1743,0.1743,1.1848,-0.1313,0.1313
102,1,24,0.154,0.6083,-0.1401,0.1401,0.5049,-0.1427,0.1427,0.2023,-0.1639,0.1639,1.4708,-0.1519,0.1519,1.589,-0.1945,0.1945,1.5831,-0.1383,0.1383,0.7078,-0.1329,0.1329,0.3271,-0.1221,0.1221,0.4076,-0.1619,0.1619,0.4736,-0.095,0.095
102,1,25,0.1369,0.5944,-0.1407,0.1407,0.2031,-0.1473,0.1473,0.2582,-0.1352,0.1352,1.0759,-0.1316,0.1316,0.6263,-0.1575,0.1575,0.8085,-0.1231,0.1231,0.4378,-0.1358,0.1358,0.5025,-0.1232,0.1232,0.61,-0.1249,0.1249,0.7365,-0.1735,0.1735
102,1,26,0.1533,0.5567,-0.1274,0.1274,0.465,-0.123,0.123,0.1462,-0.1438,0.1438,1.0429,-0.1323,0.1323,1.8221,-0.1589,0.1589,0.8175,-0.1255,0.1255,0.4707,-0.1433,0.1433,0.4585,-0.1196,0.1196,0.527,-0.1215,0.1215,0.3814,-0.1279,0.1279
102,1,27,0.1368,1.0047,-0.0846,0.0846,0.4204,-0.1265,0.1265,0.215,-0.1487,0.1487,0.884,-0.1335,0.1335,0.7281,-0.143,0.143,0.6834,-0.1459,0.1459,0.2523,-0.1422,0.1422,0.3192,-0.1222,0.1222,0.4451,-0.1717,0.1717,0.4084,-0.1497,0.1497
102,1,28,0.1673,0.4161,-0.146,0.146,0.1737,-0.1434,0.1434,0.2677,-0.1518,0.1518,0.8614,-0.1415,0.1415,1.3026,-0.2082,0.2082,2.2931,-0.1203,0.1203,0.3245,-0.1202,0.1202,0.4015,-0.1202,0.1202,0.5104,-0.1145,0.1145,0.5296,-0.1324,0.1324
102,1,29,0.1419,0.4719,-0.1128,0.1128,0.389,-0.1368,0.1368,0.1641,-0.1683,0.1683,1.24,-0.1329,0.1329,1.0326,-0.1443,0.1443,1.0526,-0.1134,0.1134,0.4146,-0.1226,0.1226,0.7605,-0.11,0.11,0.3107,-0.1224,0.1224,1.0319,-0.0762,0.0762
102,1,30,0.1265,0.5709,-0.1248,0.1248,0.4476,-0.1263,0.1263,0.143,-0.1626,0.1626,0.7459,-0.1217,0.1217,0.7354,-0.1268,0.1268,0.8803,-0.1232,0.1232,1.7093,-0.1551,0.1551,0.6022,-0.1104,0.1104,0.4398,-0.1074,0.1074,0.3475,-0.0971,0.0971
